Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°F);Weather type;Notes
2021-09-12 02:03:14;2021-09-12 09:42:22;84%;51%;Good;50;6703;Normal;99.9;Hermiston;21.0;27548.1;24242.4;2663.0;2021-09-12 09:30:00;2021-09-12 10:00:00;true;240.0;66.9;Partly cloudy;Ate late:Energy Drink - During Day:Good day:Late Night Gaming:Late Night TV:Tired
2021-09-12 23:27:19;2021-09-13 04:18:51;60%;45%;Good;46;2777;Normal;99.8;Hermiston;6.0;17491.9;17142.0;349.8;2021-09-13 04:15:00;2021-09-13 04:45:00;true;180.0;60.6;Partly cloudy;Good day:Late Night Gaming:Tired
2021-09-13 06:05:42;2021-09-13 07:30:11;18%;15%;Good;52;530;Normal;100.0;Umatilla;0.0;5069.2;4967.8;101.4;2021-09-13 07:30:00;2021-09-13 07:30:00;true;326.1;57.6;Sunny;Nap
2021-09-13 21:39:16;2021-09-14 04:36:02;74%;67%;Good;52;6593;Normal;99.9;Hermiston;24.2;25006.4;21755.6;2667.4;2021-09-14 04:30:00;2021-09-14 05:00:00;true;360.0;55.6;Sunny;Good day:Stressful day:Tea - During Day:Tired
2021-09-14 23:06:19;2021-09-15 04:36:41;61%;68%;Good;58;14367;Normal;99.4;Hermiston;19.7;19821.2;15658.8;3501.7;2021-09-15 04:30:00;2021-09-15 05:00:00;true;519.8;68.2;Partly cloudy;Ate late:Energy Drink - During Day:Good day:Headache:Stressful day:Tired:Worked out
2021-09-15 22:18:23;2021-09-16 04:39:41;71%;88%;Good;53;7761;Normal;99.7;Hermiston;18.3;22877.7;16090.6;4651.8;2021-09-16 04:30:00;2021-09-16 05:00:00;true;736.1;52.3;Sunny;Energy Drink - During Day:Good day:Headache:Late Night TV:Tired
2021-09-16 21:49:31;2021-09-17 06:47:09;84%;86%;Good;52;15651;Normal;99.7;Hermiston;36.6;32258.2;28172.1;2043.0;2021-09-17 06:30:00;2021-09-17 07:00:00;true;2592.4;45.5;Sunny;Energy Drink - During Day:Good day:Tired:Worked out
2021-09-18 01:19:40;2021-09-18 07:30:29;62%;79%;Good;53;10459;Normal;98.4;Hermiston;30.9;22249.6;19505.5;1483.3;2021-09-18 09:00:00;2021-09-18 09:30:00;true;3540.2;66.4;Cloudy;Energy Drink - During Day:Good day:Tired
2021-09-18 22:35:01;2021-09-19 08:31:06;78%;71%;Good;58;7250;Normal;99.1;Hermiston;45.4;35764.2;28134.5;2026.6;2021-09-19 08:30:00;2021-09-19 08:30:00;true;173.6;57.6;Cloudy;Energy Drink - During Day:Good day:Tired
2021-09-20 00:24:37;2021-09-20 05:30:44;42%;64%;Good;53;2494;Normal;100.4;Hermiston;51.7;18367.4;15857.2;367.3;2021-09-20 05:30:00;2021-09-20 05:30:00;true;67.1;54.1;Sunny;Energy Drink - During Day:Good day
2021-09-20 23:09:21;2021-09-21 05:00:30;53%;71%;Good;0;7990;Normal;100.9;Hermiston;40.9;21068.9;16082.6;2106.9;2021-09-21 05:00:00;2021-09-21 05:00:00;true;240.0;49.3;Sunny;Energy Drink - During Day:Good day:Tired:Worked out
2021-09-21 22:39:54;2021-09-22 05:01:30;60%;80%;Good;52;10707;Normal;99.9;Hermiston;38.2;22896.1;19538.0;1755.4;2021-09-22 05:00:00;2021-09-22 05:00:00;true;60.0;54.1;Sunny;Energy Drink - During Day:Sick:Stressful day:Tired
2021-09-22 23:22:22;2021-09-23 04:39:06;36%;91%;Good;52;8239;Normal;100.3;Hermiston;71.5;19003.6;15076.2;380.1;2021-09-23 04:30:00;2021-09-23 05:00:00;true;1589.1;58.1;Sunny;Good day:Stressful day:Tired
2021-09-23 15:35:08;2021-09-23 16:06:33;7%;42%;Good;63;8521;Normal;100.3;Hermiston;0.0;1885.3;1847.6;37.7;2021-09-23 16:00:00;2021-09-23 16:30:00;true;0.0;77.7;Sunny;Daylight:Nap:Stressful day:Tired
2021-09-23 22:22:20;2021-09-24 06:34:26;66%;87%;Good;50;11692;Normal;100.3;Hermiston;57.1;29526.2;27360.9;2165.3;2021-09-24 06:30:00;2021-09-24 07:00:00;true;1132.8;58.3;Sunny;Good day:Stressful day:Tired:Worked out
2021-09-24 22:18:28;2021-09-25 06:31:29;69%;89%;Good;51;12360;Normal;99.4;Hermiston;53.0;29581.0;25932.6;2563.7;2021-09-25 06:30:00;2021-09-25 07:00:00;true;143.4;58.3;Sunny;Energy Drink - During Day:Good day:Tired
